25499			349718			324234			292178			2476			1851			341
25549			350468			324934			292121			2511			1831			332
25599			351218			325634			293155			2509			1835			307
25649			351968			326334			293782			2521			1847			344
25699			352718			327034			294232			2654			1868			362
25749			353468			327734			294901			2657			1877			355
25800			354233			328448			295651			2572			1854			365
25850			354983			329148			296115			2578			1869			351
25898			355703			329820			296952			2563			1943			311
25948			356453			330520			297615			2560			1951			371
25999			357218			331234			298451			2532			1977			343
26049			357968			331934			298673			2538			1997			338
26097			358688			332606			299744			2573			1908			393
26147			359438			333306			300553			2576			1914			349
26198			360203			334020			300856			2742			2015			371
26248			360953			334720			301495			2738			2027			412
26299			361718			335434			302122			2456			1936			358
26349			362468			336134			302083			2464			1947			340
26400			363233			336848			303281			2575			1906			342
26450			363983			337548			303218			2577			1919			336
26499			364718			338234			305105			2689			1965			405
26549			365468			338934			305421			2700			1977			404
26599			366218			339634			305704			2664			2067			374
26649			366968			340334			306461			2662			2076			331
26699			367718			341034			307066			2643			2046			379
26749			368468			341734			307590			2647			2055			341
26797			369188			342406			308332			2545			2141			340
26847			369938			343106			308950			2548			2152			344
26899			370718			343834			309438			2668			2050			363
26949			371468			344534			310188			2668			2064			311
27000			372233			345248			311135			2631			2031			355
27050			372983			345948			311889			2634			2034			341
27097			373688			346606			312195			2672			2227			418
27147			374438			347306			313219			2676			2234			417
27200			375233			348048			313311			2525			2144			400
27250			375983			348748			313901			2534			2155			378
27300			376733			349448			314723			2637			2176			385
27350			377483			350148			315300			2645			2184			394
27398			378203			350820			316411			2690			2205			399
27448			378953			351520			316667			2698			2215			402
27500			379733			352248			317407			2790			2199			376
27550			380483			352948			317970			2801			2204			383
27600			381233			353648			318494			2732			2303			386
27650			381983			354348			318905			2738			2316			389
27699			382718			355034			320111			2763			2339			416
27749			383468			355734			320614			2672			2244			393
27799			384218			356434			320887			2675			2257			350
27850			384983			357148			321974			2723			2297			393
27900			385733			357848			322724			2738			2308			404
27949			386468			358534			323341			2922			2428			475
27999			387218			359234			323472			2928			2441			431
28050			387983			359948			323991			2806			2370			448
28097			388688			360606			324176			2905			2497			432
28147			389438			361306			325369			2906			2505			432
28199			390218			362034			326351			2853			2404			431
28249			390968			362734			326888			2860			2416			414
28300			391733			363448			327785			2785			2407			419
28350			392483			364148			328181			2799			2418			419
28400			393233			364848			328534			2932			2475			450
28450			393983			365548			329365			2937			2491			471
28499			394718			366234			329992			2895			2600			451
28549			395468			366934			330856			2901			2610			476
28599			396218			367634			331459			2928			2564			481
28649			396968			368334			331739			2928			2573			471
28698			397703			369020			332653			2963			2528			454
28748			398453			369720			332893			2974			2547			489
28799			399218			370434			334103			2942			2665			478
28848			399953			371120			334905			3026			2654			488
28898			400703			371820			335177			3035			2673			498
28949			401468			372534			335886			2956			2623			470
28999			402218			373234			336089			2961			2634			490
29050			402983			373948			337049			3000			2514			519
